email_text,label
"Hello, Hi, just wanted to let you know that the family reunion is confirmed for August 15th. We've booked the lakehouse for the weekend. Please let everyone know and bring your favorite dish! Thanks,",ham
GREETINGS! YOUR EMAIL ACCOUNT WILL BE DELETED IN 24 HOURS UNLESS YOU VERIFY. CLICK THE VERIFICATION LINK BELOW TO CONFIRM YOUR IDENTITY. THIS IS AN AUTOMATED MESSAGE FROM THE IT SECURITY TEAM. WIRE TRANSFER ONLY. ACT IMMEDIATELY!,spam
"Dear team, Hi, your appointment with Dr. Smith is confirmed for next Monday at 2:30 PM. Please arrive 15 minutes early to complete the paperwork. If you need to reschedule, call us at least 24 hours in advance.",ham
"Hi, I'm dropping off the kids at school tomorrow morning. Can you pick them up at 3 PM? I have a dentist appointment that I can't reschedule. Let's discuss this further. See you soon,",ham
"BITCOIN ALERT: Invest $250 today and earn $10,000 by next week! Our AI-powered trading bot does all the work for you. Don't miss this once-in-a-lifetime opportunity! Wire transfer only. Click here now! ?*$",spam
"DEAR CUSTOMER, BITCOIN ALERT: INVEST $250 TODAY AND EARN $10,000 BY NEXT WEEK! OUR AI-POWERED TRADING BOT DOES ALL THE WORK FOR YOU. DON'T MISS THIS ONCE-IN-A-LIFETIME OPPORTUNITY! THIS OFFER WON'T LAST LONG.",spam
"Good morning, Hi, the landlord sent an email about the building maintenance schedule. They'll be fixing the elevator on Tuesday and the water will be off for 2 hours on Wednesday. Just wanted to give you a heads up. Regards,",ham
Attention! IMPORTANT: Your Netflix subscription payment failed. Update your billing information now to avoid service interruption. Click here to update your payment method securely. 100% guaranteed!,spam
"Hi, I've completed the code review for the API endpoints. Overall it looks great, just a few minor suggestions in the comments. Nice work on the error handling! Don't hesitate to reach out. Best,",ham
"Good morning, Dear students, the midterm exam will cover chapters 1 through 7. I've uploaded a practice test on the course portal. Review sessions will be held next Tuesday and Thursday. Thanks for your time. See you soon,",ham
"Dear User, BITCOIN ALERT: Invest $250 today and earn $10,000 by next week!!! Our AI-powered trading bot does all the work for you. Don't miss this once-in-a-lifetime opportunity!!! Buy now pay later. Hurry!!!",spam
"Hello everyone, Hey, I noticed a bug in the payment processing module. When users enter an invalid card number, the error message doesn't display correctly. I've created a ticket for it. Can you take a look? Let me know your thoughts. Regards,",ham
"Dear team, Dear Professor, I wanted to confirm my attendance for the research seminar next week. I've prepared a brief summary of my findings so far. Would it be possible to schedule a 15-minute slot for my presentation? Take care,",ham
"Dear member, our gym will be undergoing renovations starting next month. The pool area will be closed for two weeks but all other facilities remain open. We apologize for any inconvenience. Talk soon,",ham
"Dear Professor, I wanted to confirm my attendance for the research seminar next week. I've prepared a brief summary of my findings so far. Would it be possible to schedule a 15-minute slot for my presentation? Best,",ham
